exp_id,seed,alpha,BA_before,ASR_before,BA_after_ascent,ASR_after_ascent,BA_after_recovery,ASR_after_recovery,stored_BA,stored_ASR,reproduced_checkpoint_identical,runtime_sec
mnist_iid,2,0.5,0.9858,0.9970066518847006,0.7879,0.12028824833702882,0.9865,0.9620842572062084,0.9865,0.9620842572062084,True,48.865633964538574
mnist_iid,2,0.75,0.9858,0.9970066518847006,0.8254,0.12161862527716186,0.9868,0.8658536585365854,0.9868,0.8658536585365854,True,57.45829486846924
mnist_iid,2,1.0,0.9858,0.9970066518847006,0.8214,0.11940133037694013,0.9872,0.5188470066518847,0.9872,0.5188470066518847,True,62.06828999519348
mnist_iid,3,0.25,0.9858,0.9952328159645233,0.797,0.09767184035476718,0.9865,0.9701773835920178,0.9865,0.9701773835920178,True,39.843443870544434
mnist_iid,3,0.5,0.9858,0.9952328159645233,0.8164,0.1188470066518847,0.987,0.9480044345898004,0.987,0.9480044345898004,True,45.491957902908325
mnist_iid,3,0.75,0.9858,0.9952328159645233,0.8115,0.09290465631929047,0.9866,0.792350332594235,0.9866,0.792350332594235,True,48.469305992126465
mnist_iid,3,1.0,0.9858,0.9952328159645233,0.8152,0.12416851441241686,0.9865,0.47350332594235034,0.9865,0.47350332594235034,True,51.030527114868164
mnist_iid,4,0.25,0.9851,0.9953436807095344,0.7278,0.08093126385809313,0.9858,0.9851441241685144,0.9858,0.9851441241685144,True,39.76487970352173
mnist_iid,4,0.5,0.9851,0.9953436807095344,0.7695,0.048337028824833705,0.9852,0.9518847006651885,0.9852,0.9518847006651885,True,47.3716459274292
mnist_iid,4,0.75,0.9851,0.9953436807095344,0.7434,0.05909090909090909,0.9859,0.8502217294900222,0.9859,0.8502217294900222,True,51.30085015296936
mnist_iid,4,1.0,0.9851,0.9953436807095344,0.706,0.06895787139689578,0.9857,0.6008869179600886,0.9857,0.6008869179600886,True,64.75517511367798
gtsrb_iid,0,0.25,0.8319873317498021,0.8408114558472554,0.7102929532858274,0.0,0.8385589865399842,0.811217183770883,0.8385589865399842,0.811217183770883,True,16.28395104408264
gtsrb_iid,0,0.5,0.8319873317498021,0.8408114558472554,0.7155977830562154,0.0,0.8391132224861441,0.7795544948289579,0.8391132224861441,0.7795544948289579,True,15.596832752227783
gtsrb_iid,0,0.75,0.8319873317498021,0.8408114558472554,0.7570863024544735,0.0,0.8411718131433096,0.7400159108989658,0.8411718131433096,0.7400159108989658,True,15.382323026657104
gtsrb_iid,0,1.0,0.8319873317498021,0.8408114558472554,0.6927157561361836,0.0,0.843784639746635,0.33389021479713604,0.843784639746635,0.33389021479713604,True,15.905343055725098
gtsrb_iid,1,0.25,0.8353919239904988,0.82824184566428,0.7400633412509897,0.0,0.8375296912114014,0.7918058870326173,0.8375296912114014,0.7918058870326173,True,15.758141040802002
gtsrb_iid,1,0.5,0.8353919239904988,0.82824184566428,0.748535233570863,0.0,0.8384006334125099,0.7571996817820207,0.8384006334125099,0.7571996817820207,True,15.766318082809448
gtsrb_iid,1,0.75,0.8353919239904988,0.82824184566428,0.7566904196357878,0.0,0.841963578780681,0.722593476531424,0.841963578780681,0.722593476531424,True,15.821860074996948
gtsrb_iid,1,1.0,0.8353919239904988,0.82824184566428,0.7507521773555028,0.0,0.8442596991290579,0.14192521877486078,0.8442596991290579,0.14192521877486078,True,15.656633853912354
gtsrb_iid,2,0.25,0.8193982581155977,0.8645186953062848,0.7845605700712589,0.0,0.8257323832145684,0.8260938743038981,0.8257323832145684,0.8260938743038981,True,15.593209028244019
gtsrb_iid,2,0.5,0.8193982581155977,0.8645186953062848,0.735550277117973,0.0,0.8358669833729216,0.7962609387430389,0.8358669833729216,0.7962609387430389,True,15.835806131362915
gtsrb_iid,2,0.75,0.8193982581155977,0.8645186953062848,0.781631037212985,0.0,0.8243072050673,0.7568019093078759,0.8243072050673,0.7568019093078759,True,16.093218088150024
gtsrb_iid,2,1.0,0.8193982581155977,0.8645186953062848,0.7795724465558195,0.0,0.8344418052256533,0.18257756563245822,0.8344418052256533,0.18257756563245822,True,16.48847198486328
